chr	start	end	gene_ids	gene_symbols
chr1	4880000	5400000	ENSG00000284674.1;ENSG00000231510.1;ENSG00000284739.1;ENSG00000284616.1	LINC02781;LINC02782;RP4-603B14.2;RP4-703E10.1
chr1	5400000	5560000	ENSG00000260972.1;ENSG00000284692.2;ENSG00000284666.1	RP1-58B11.1;RP1-58B11.2;RP1-58B11.3
chr1	5560000	5840000	ENSG00000264341.1;ENSG00000236948.2;ENSG00000283356.1	MIR4417;RP11-154H17.1;RP3-491M17.1
chr1	5840000	6000000	ENSG00000266687.1;ENSG00000216045.2;ENSG00000264101.1;ENSG00000131697.18	AL356261.1;AL356693.1;MIR4689;NPHP4
chr1	6000000	6840000	ENSG00000097021.20;ENSG00000116254.18;ENSG00000007923.16;ENSG00000187017.17;ENSG00000158292.7;ENSG00000069812.11;ENSG00000173673.8;ENSG00000116237.16;ENSG00000069424.15;ENSG00000162413.16;ENSG00000225077.3;ENSG00000228750.7;ENSG00000265392.1;ENSG00000162408.11;ENSG00000131697.18;ENSG00000116273.6;ENSG00000171680.23;ENSG00000158286.13;ENSG00000226944.1;ENSG00000253022.1;ENSG00000285629.1;ENSG00000231868.1;ENSG00000271746.1;ENSG00000284744.1;ENSG00000229519.2;ENSG00000116251.11;ENSG00000173662.21;ENSG00000041988.15;ENSG00000215788.11;ENSG00000204859.13	ACOT7;CHD5;DNAJC11;ESPN;GPR153;HES2;HES3;ICMT;KCNAB2;KLHL21;LINC00337;LINC01672;MIR4252;NOL9;NPHP4;PHF13;PLEKHG5;RNF207;RNF207-AS1;RNU6-731P;RP1-120G22.12;RP1-202O8.2;RP1-202O8.3;RP11-242F24.2;RP11-58A11.2;RPL22;TAS1R1;THAP3;TNFRSF25;ZBTB48
chr1	6840000	7040000	ENSG00000171735.19;ENSG00000237436.1;ENSG00000227950.1	CAMTA1;CAMTA1-DT;RP11-312B8.2
chr1	7040000	7200000	ENSG00000171735.19;ENSG00000237365.1	CAMTA1;RP11-334N17.1
chr1	7200000	7320000	ENSG00000171735.19;ENSG00000207056.1	CAMTA1;RNU1-8P
chr1	7320000	7440000	ENSG00000171735.19;ENSG00000237402.1	CAMTA1;CAMTA1-IT1
chr1	7440000	7560000	ENSG00000171735.19;ENSG00000225126.1;ENSG00000237728.2	CAMTA1;CAMTA1-AS1;CAMTA1-AS2
chr1	7560000	7680000	ENSG00000171735.19	CAMTA1
chr1	7680000	7840000	ENSG00000171735.19;ENSG00000270171.1;ENSG00000270035.1;ENSG00000269978.1;ENSG00000269925.1;ENSG00000049245.13	CAMTA1;RP11-338N10.1;RP11-338N10.2;RP11-338N10.3;RP3-467L1.6;VAMP3
chr1	7840000	8040000	ENSG00000116288.13;ENSG00000049246.15;ENSG00000236266.1;ENSG00000270330.1;ENSG00000049249.9;ENSG00000049247.14;ENSG00000049245.13	PARK7;PER3;RP3-467L1.4;RP5-892F13.2;TNFRSF9;UTS2;VAMP3
chr1	8040000	8320000	ENSG00000232848.1;ENSG00000284716.1;ENSG00000284747.1;ENSG00000116285.13;ENSG00000227634.3;ENSG00000116288.13;ENSG00000200975.1;ENSG00000238290.1;ENSG00000229305.1;ENSG00000233645.1	CTA-215D11.4;CTA-215D11.5;CTA-215D11.6;ERRFI1;LINC01714;PARK7;RNU1-7P;RP11-431K24.1;RP11-431K24.2;RP11-431K24.4
chr1	8320000	10560000	ENSG00000225786.2;ENSG00000131686.15;ENSG00000175279.22;ENSG00000251503.8;ENSG00000171603.18;ENSG00000241563.4;ENSG00000284652.1;ENSG00000178585.15;ENSG00000160049.12;ENSG00000074800.16;ENSG00000230679.1;ENSG00000180758.12;ENSG00000049239.13;ENSG00000238249.2;ENSG00000054523.19;ENSG00000284693.1;ENSG00000234546.4;ENSG00000162441.12;ENSG00000264881.1;ENSG00000207865.1;ENSG00000228526.7;ENSG00000265521.1;ENSG00000271264.1;ENSG00000173614.14;ENSG00000142655.13;ENSG00000233623.2;ENSG00000142657.21;ENSG00000171608.16;ENSG00000179840.5;ENSG00000231789.2;ENSG00000162444.12;ENSG00000142599.19;ENSG00000232912.6;ENSG00000202415.1;ENSG00000265141.1;ENSG00000265945.1;ENSG00000265414.1;ENSG00000264501.1;ENSG00000252956.1;ENSG00000201725.1;ENSG00000199562.1;ENSG00000201746.1;ENSG00000251977.1;ENSG00000224340.1;ENSG00000233268.3;ENSG00000241326.1;ENSG00000228150.1;ENSG00000223989.1;ENSG00000280113.2;ENSG00000285701.1;ENSG00000231181.1;ENSG00000235263.1;ENSG00000232208.2;ENSG00000232663.2;ENSG00000226545.1;ENSG00000228423.2;ENSG00000271989.1;ENSG00000284735.1;ENSG00000284642.1;ENSG00000203469.2;ENSG00000270282.1;ENSG00000229716.2;ENSG00000234619.1;ENSG00000224315.2;ENSG00000171612.7;ENSG00000142583.18;ENSG00000197241.4;ENSG00000162426.16;ENSG00000171621.14;ENSG00000188807.13;ENSG00000283611.2;ENSG00000130939.20;ENSG00000252841.1	AL590639.1;CA6;CENPS;CENPS-CORT;CLSTN1;CORT;CTD-2510L9.2;CTNNBIP1;DFFA;ENO1;ENO1-AS1;GPR157;H6PD;HMGN2P17;KIF1B;LINC02606;LNCTAM34A;LZIC;MIR1273D;MIR34A;MIR34AHG;MIR5697;MZT1P1;NMNAT1;PEX14;PGAM1P11;PGD;PIK3CD;PIK3CD-AS1;PIK3CD-AS2;RBP7;RERE;RERE-AS1;RN7SKP269;RN7SL451P;RN7SL721P;RN7SL729P;RN7SL731P;RNA5SP40;RNU6-304P;RNU6-37P;RNU6-828P;RNU6-991P;RP11-496H15.2;RP11-558F24.2;RP11-807G9.2;RP11-84A14.4;RP11-84A14.5;RP11-84A14.7;RP11-84A14.8;RP13-15M17.1;RP13-392I16.1;RP3-477M7.5;RP3-477M7.6;RP4-633I8.3;RP4-633I8.4;RP4-736L20.3;RP4-736L20.4;RP4-736L20.5;RP5-1113E3.3;RP5-1115A15.2;RPL23AP19;RPL7P11;RPL7P7;SLC25A33;SLC2A5;SLC2A7;SLC45A1;SPSB1;TMEM201;TMEM274P;UBE4B;Z98044.1
chr1	10560000	10960000	ENSG00000130940.15;ENSG00000225158.2;ENSG00000142655.13;ENSG00000243267.2;ENSG00000272078.1;ENSG00000287727.1	CASZ1;HSPE1P24;PEX14;RN7SL614P;RP4-734G22.3;RP4-734G22.4
chr1	10960000	11080000	ENSG00000264181.1;ENSG00000175262.14;ENSG00000215785.2;ENSG00000120948.19	AL713997.1;C1orf127;CFL1P6;TARDBP
chr1	11080000	11720000	ENSG00000171819.5;ENSG00000204624.8;ENSG00000171824.14;ENSG00000230337.1;ENSG00000116661.11;ENSG00000132879.14;ENSG00000235643.2;ENSG00000009724.17;ENSG00000224338.2;ENSG00000198793.13;ENSG00000225602.5;ENSG00000207451.1;ENSG00000253086.1;ENSG00000285833.1;ENSG00000284708.1;ENSG00000226849.1;ENSG00000284646.1;ENSG00000238173.1;ENSG00000116649.10;ENSG00000120948.19;ENSG00000238199.1;ENSG00000120942.14	ANGPTL7;DISP3;EXOSC10;EXOSC10-AS1;FBXO2;FBXO44;LINC01647;MASP2;MTCYBP45;MTOR;MTOR-AS1;RNU6-291P;RNU6-537P;RP11-149P14.2;RP3-330O12.5;RP4-635E18.7;RP4-796F18.3;RPL39P6;SRM;TARDBP;UBE2V2P3;UBIAD1
chr1	11720000	12280000	ENSG00000177674.16;ENSG00000215910.7;ENSG00000177553.6;ENSG00000011021.23;ENSG00000162490.7;ENSG00000132879.14;ENSG00000116663.11;ENSG00000116685.16;ENSG00000116670.15;ENSG00000116688.18;ENSG00000116691.11;ENSG00000263676.1;ENSG00000177000.13;ENSG00000175206.10;ENSG00000120937.9;ENSG00000083444.17;ENSG00000243539.2;ENSG00000199347.1;ENSG00000201801.1;ENSG00000201135.1;ENSG00000285604.1;ENSG00000270914.1;ENSG00000287384.1;ENSG00000285646.2;ENSG00000227875.2;ENSG00000224904.1;ENSG00000028137.19;ENSG00000120949.15	AGTRAP;C1orf167;C1orf167-AS1;CLCN6;DRAXIN;FBXO44;FBXO6;KIAA2013;MAD2L2;MFN2;MIIP;MIR4632;MTHFR;NPPA;NPPB;PLOD1;RN7SL649P;RNU5E-1;RNU5E-4P;RNU6-777P;RP11-426M1.3;RP5-1077B9.5;RP5-1077B9.6;RP5-934G17.7;RPL23AP89;SBF1P2;TNFRSF1B;TNFRSF8
chr1	12280000	12400000	ENSG00000225196.2;ENSG00000048707.15	RPL10P17;VPS13D
chr1	12400000	12800000	ENSG00000188984.12;ENSG00000204518.3;ENSG00000162496.9;ENSG00000229484.1;ENSG00000221340.1;ENSG00000226166.2;ENSG00000272482.1;ENSG00000239149.1;ENSG00000048707.15	AADACL3;AADACL4;DHRS3;LINC02766;RNU6ATAC18P;RP11-474O21.2;RP11-474O21.5;SNORA59A;VPS13D
chr1	12800000	13040000	ENSG00000157330.10;ENSG00000179172.10;ENSG00000228338.1;ENSG00000116721.9;ENSG00000187545.5;ENSG00000204513.5;ENSG00000116726.5;ENSG00000120952.4;ENSG00000204508.3;ENSG00000234064.1;ENSG00000231103.2;ENSG00000243073.4;ENSG00000232423.6;ENSG00000204510.5;ENSG00000207434.1;ENSG00000250894.1	C1orf158;HNRNPCL1;LINC01784;PRAMEF1;PRAMEF10;PRAMEF11;PRAMEF12;PRAMEF2;PRAMEF22;PRAMEF29P;PRAMEF30P;PRAMEF4;PRAMEF6;PRAMEF7;RNU6-1072P;RP11-450I1.4
chr1	13720000	13840000	ENSG00000162494.6;ENSG00000204478.10;ENSG00000259961.1	LRRC38;PRAMEF20;RP4-597A16.2
chr1	13840000	14160000	ENSG00000266358.1;ENSG00000215909.3;ENSG00000237445.2;ENSG00000162494.6;ENSG00000162493.17;ENSG00000116731.22;ENSG00000222952.1;ENSG00000259961.1;ENSG00000253085.1	AL359771.1;BRWD1P1;CTA-520D8.2;LRRC38;PDPN;PRDM2;RNA5SP41;RP4-597A16.2;SCARNA11
chr1	14160000	14280000	ENSG00000189337.17	KAZN
chr1	14280000	14400000	ENSG00000189337.17	KAZN
chr1	14400000	14960000	ENSG00000189337.17;ENSG00000234593.3;ENSG00000252151.1;ENSG00000231606.2	KAZN;KAZN-AS1;RNU6-1265P;RP11-344F13.1
chr1	14960000	15360000	ENSG00000189337.17;ENSG00000287756.1;ENSG00000235829.1	KAZN;RP5-864I18.1;TBCAP2
chr1	15360000	15520000	ENSG00000204464.7;ENSG00000189337.17;ENSG00000215720.4;ENSG00000171729.14;ENSG00000175147.13	C1orf195;KAZN;MFFP1;TMEM51;TMEM51-AS1
chr1	15520000	15720000	ENSG00000142621.20;ENSG00000233485.1;ENSG00000236045.1;ENSG00000171729.14;ENSG00000278480.1	FHAD1;FHAD1-AS1;RP3-467K16.7;TMEM51;ZBTB2P1
chr1	15720000	15840000	ENSG00000132906.18;ENSG00000142615.8;ENSG00000215704.10;ENSG00000162438.12;ENSG00000142634.13;ENSG00000142621.20;ENSG00000228140.2	CASP9;CELA2A;CELA2B;CTRC;EFHD2;FHAD1;RP3-467K16.4
chr1	15840000	17800000	ENSG00000266727.1;ENSG00000269468.1;ENSG00000116771.6;ENSG00000264742.1;ENSG00000268991.1;ENSG00000264048.1;ENSG00000237847.2;ENSG00000266584.1;ENSG00000268674.1;ENSG00000237276.8;ENSG00000142632.17;ENSG00000234166.1;ENSG00000159363.19;ENSG00000204377.3;ENSG00000132906.18;ENSG00000236500.1;ENSG00000235084.3;ENSG00000186510.12;ENSG00000184908.19;ENSG00000132881.12;ENSG00000058453.17;ENSG00000215908.10;ENSG00000080947.15;ENSG00000227684.2;ENSG00000197312.12;ENSG00000116138.13;ENSG00000236698.1;ENSG00000142627.13;ENSG00000268869.6;ENSG00000185519.9;ENSG00000162458.13;ENSG00000037637.11;ENSG00000179743.4;ENSG00000173641.18;ENSG00000226029.1;ENSG00000233421.5;ENSG00000204362.6;ENSG00000117122.14;ENSG00000263811.1;ENSG00000266634.1;ENSG00000186715.11;ENSG00000186301.8;ENSG00000233929.1;ENSG00000219481.10;ENSG00000157191.20;ENSG00000142623.11;ENSG00000117115.13;ENSG00000142619.4;ENSG00000159339.13;ENSG00000276747.1;ENSG00000225710.1;ENSG00000230239.1;ENSG00000116786.13;ENSG00000179051.14;ENSG00000227751.1;ENSG00000206652.1;ENSG00000207005.1;ENSG00000207513.1;ENSG00000207389.1;ENSG00000252417.1;ENSG00000270620.1;ENSG00000279151.1;ENSG00000282143.1;ENSG00000226526.1;ENSG00000286898.1;ENSG00000288636.1;ENSG00000223643.6;ENSG00000228549.5;ENSG00000238142.2;ENSG00000235241.1;ENSG00000272426.1;ENSG00000178715.8;ENSG00000227959.1;ENSG00000224621.1;ENSG00000237938.5;ENSG00000282843.1;ENSG00000234607.2;ENSG00000232456.1;ENSG00000275503.1;ENSG00000231353.1;ENSG00000233078.1;ENSG00000237301.1;ENSG00000272510.1;ENSG00000271742.1;ENSG00000288398.1;ENSG00000224174.2;ENSG00000261135.1;ENSG00000285853.1;ENSG00000271732.1;ENSG00000282740.1;ENSG00000283773.1;ENSG00000280114.1;ENSG00000224321.1;ENSG00000226457.1;ENSG00000215695.1;ENSG00000251866.1;ENSG00000117118.10;ENSG00000162461.8;ENSG00000224459.1;ENSG00000187144.11;ENSG00000065526.12;ENSG00000183888.4;ENSG00000055070.17;ENSG00000224966.4;ENSG00000162460.7;ENSG00000233954.6;ENSG00000116809.12	AC004824.1;AC004824.2;AGMAT;AL021920.1;AL021920.2;AL121992.1;AL137798.1;AL355149.1;AL355149.2;ANO7L1;ARHGEF19;ARHGEF19-AS1;ATP13A2;C1orf134;CASP9;CD24P1;CHCHD2P6;CLCNKA;CLCNKB;CPLANE2;CROCC;CROCCP2;CROCCP3;CROCCP4;DDI2;DNAJC16;EIF1AXP1;EPHA2;ESPNP;FAM131C;FBLIM1;FBXO42;FLJ37453;HSPB7;LINC01772;LINC01783;LINC02783;MFAP2;MIR3675;MIR3972;MST1L;MST1P2;MT1XP1;NBPF1;NECAP2;PADI1;PADI2;PADI3;PADI4;PADI6;PDE4DIPP8;PDE4DIPP9;PLEKHM2;RCC2;RCC2-AS1;RNU1-1;RNU1-2;RNU1-3;RNU1-4;RNU7-179P;RP1-134O19.3;RP1-163M9.7;RP1-163M9.8;RP1-37C10.3;RP1-37C10.7;RP1-37C10.8;RP11-108M9.1;RP11-108M9.3;RP11-108M9.4;RP11-108M9.5;RP11-108M9.6;RP11-169K16.8;RP11-276H7.2;RP11-276H7.3;RP11-288I21.1;RP11-380J14.4;RP11-5P18.1;RP11-5P18.10;RP11-5P18.11;RP11-5P18.3;RP11-5P18.5;RP4-680D5.2;RP4-680D5.8;RP4-680D5.9;RP4-733M16.8;RP4-798A10.4;RP4-798A10.7;RP4-798A10.8;RP5-1182A14.5;RP5-1182A14.7;RP5-1182A14.8;RP5-875O13.7;RPL12P14;RPL22P3;RSC1A1;SCARNA21;SDHB;SLC25A34;SLC25A34-AS1;SPATA21;SPEN;SRARP;SZRD1;TBC1D3P6;TMEM82;UQCRHL;ZBTB17
chr1	17800000	17960000	ENSG00000074964.17	ARHGEF10L
chr1	17960000	18640000	ENSG00000117148.8;ENSG00000074964.17;ENSG00000117154.12;ENSG00000230035.2;ENSG00000261781.1;ENSG00000236648.2;ENSG00000280222.1;ENSG00000284653.1	ACTL8;ARHGEF10L;IGSF21;IGSF21-AS1;LINC01654;LINC02810;RP11-174G17.3;RP11-658E23.1
chr1	18640000	18800000	ENSG00000117154.12;ENSG00000225387.1	IGSF21;RP11-422P22.1
chr1	18800000	18920000	ENSG00000235282.3;ENSG00000179023.9	DYNLL1P3;KLHDC7A
chr1	18920000	19040000	ENSG00000009709.12;ENSG00000225478.2	PAX7;RP1-8B22.2
chr1	19040000	19200000	ENSG00000159423.17;ENSG00000009709.12;ENSG00000255275.3;ENSG00000179002.5	ALDH4A1;PAX7;RP13-279N23.2;TAS1R2
chr1	19200000	20000000	ENSG00000053371.13;ENSG00000162482.5;ENSG00000211454.15;ENSG00000266098.1;ENSG00000159423.17;ENSG00000077549.19;ENSG00000127463.15;ENSG00000230424.1;ENSG00000158748.4;ENSG00000169991.11;ENSG00000173436.15;ENSG00000270136.6;ENSG00000221662.1;ENSG00000265606.1;ENSG00000053372.5;ENSG00000158747.15;ENSG00000240490.2;ENSG00000265192.1;ENSG00000201609.1;ENSG00000200403.1;ENSG00000255275.3;ENSG00000270728.1;ENSG00000286064.1;ENSG00000235185.1;ENSG00000226396.1;ENSG00000272084.1;ENSG00000040487.13;ENSG00000127481.15	AKR7A2;AKR7A3;AKR7L;AL137127.1;ALDH4A1;CAPZB;EMC1;EMC1-AS1;HTR6;IFFO2;MICOS10;MICOS10-NBL1;MIR1290;MIR4695;MRTO4;NBL1;RN7SL277P;RN7SL85P;RNU4-28P;RNU6-1099P;RP13-279N23.2;RP4-657E11.10;RP4-657E11.11;RP5-1056L3.1;RP5-1056L3.3;RP5-1126H10.2;SLC66A1;UBR4
chr1	20000000	20080000	ENSG00000158748.4;ENSG00000162542.14	HTR6;TMCO4
chr1	20080000	20200000	ENSG00000178828.7;ENSG00000235434.1;ENSG00000162542.14	RNF186;RP11-91K11.2;TMCO4
chr1	20200000	20800000	ENSG00000236963.7;ENSG00000228105.2;ENSG00000169914.6;ENSG00000188257.12;ENSG00000187980.7;ENSG00000117215.15;ENSG00000188784.4;ENSG00000158786.5;ENSG00000127472.11;ENSG00000242688.2;ENSG00000227066.2;ENSG00000284710.1;ENSG00000226664.1;ENSG00000226487.1;ENSG00000162543.6;ENSG00000158816.16	LINC01141;LINC01757;OTUD3;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G5;RN7SL304P;RP3-340N1.2;RP3-340N1.7;RP4-745E8.2;RP4-749H3.2;UBXN10;VWA5B1
chr1	20800000	20960000	ENSG00000162545.6;ENSG00000158825.6;ENSG00000183114.8;ENSG00000090432.7;ENSG00000158828.8;ENSG00000284743.1;ENSG00000284641.1;ENSG00000215520.3	CAMK2N1;CDA;FAM43B;MUL1;PINK1;RP4-749H3.3;RP4-749H3.4;RPS4XP4
