chr	start	end	gene_ids	gene_symbols
chr1	5939940	6779940	ENSG00000097021;ENSG00000116254;ENSG00000007923;ENSG00000187017;ENSG00000158292;ENSG00000069812;ENSG00000173673;ENSG00000116237;ENSG00000225077;ENSG00000069424;ENSG00000162413;ENSG00000228750;ENSG00000162408;ENSG00000131697;ENSG00000116273;ENSG00000171680;ENSG00000158286;ENSG00000226944;ENSG00000253022;ENSG00000116251;ENSG00000173662;ENSG00000041988;ENSG00000215788;ENSG00000204859	ACOT7;CHD5;DNAJC11;ESPN;GPR153;HES2;HES3;ICMT;ICMT-DT;KCNAB2;KLHL21;LINC01672;NOL9;NPHP4;PHF13;PLEKHG5;RNF207;RNF207-AS1;RNU6-731P;RPL22;TAS1R1;THAP3;TNFRSF25;ZBTB48
chr1	6779940	6979940	ENSG00000171735;ENSG00000237436	CAMTA1;CAMTA1-DT
chr1	6979940	7139940	ENSG00000171735;ENSG00000237365	CAMTA1;CAMTA1-AS3
chr1	7139940	7259940	ENSG00000171735;ENSG00000207056	CAMTA1;RNU1-8P
chr1	7259940	7379939	ENSG00000171735;ENSG00000237402	CAMTA1;CAMTA1-IT1
chr1	7379939	7499940	ENSG00000171735;ENSG00000225126;ENSG00000237728	CAMTA1;CAMTA1-AS1;CAMTA1-AS2
chr1	7499940	7619940	ENSG00000171735	CAMTA1
chr1	7619940	7779940	ENSG00000171735;ENSG00000049245	CAMTA1;VAMP3
chr1	7779940	7979940	ENSG00000116288;ENSG00000049246;ENSG00000049249;ENSG00000049247;ENSG00000049245	PARK7;PER3;TNFRSF9;UTS2;VAMP3
chr1	7979940	8259940	ENSG00000116285;ENSG00000238290;ENSG00000227634;ENSG00000116288;ENSG00000200975;ENSG00000232848	ERRFI1;ERRFI1-DT;LINC01714;PARK7;RNU1-7P;RPL7AP18
chr1	8259940	10499943	ENSG00000131686;ENSG00000175279;ENSG00000251503;ENSG00000171603;ENSG00000241563;ENSG00000178585;ENSG00000160049;ENSG00000074800;ENSG00000230679;ENSG00000180758;ENSG00000049239;ENSG00000238249;ENSG00000054523;ENSG00000284693;ENSG00000234546;ENSG00000162441;ENSG00000284357;ENSG00000228526;ENSG00000265521;ENSG00000271264;ENSG00000173614;ENSG00000142655;ENSG00000233623;ENSG00000142657;ENSG00000171608;ENSG00000179840;ENSG00000231789;ENSG00000162444;ENSG00000142599;ENSG00000232912;ENSG00000202415;ENSG00000265141;ENSG00000264501;ENSG00000252956;ENSG00000201725;ENSG00000199562;ENSG00000201746;ENSG00000251977;ENSG00000224340;ENSG00000229716;ENSG00000234619;ENSG00000224315;ENSG00000171612;ENSG00000142583;ENSG00000197241;ENSG00000162426;ENSG00000171621;ENSG00000188807;ENSG00000283611;ENSG00000130939	CA6;CENPS;CENPS-CORT;CLSTN1;CORT;CTNNBIP1;DFFA;ENO1;ENO1-AS1;GPR157;H6PD;HMGN2P17;KIF1B;LINC02606;LNCTAM34A;LZIC;MIR34A;MIR34AHG;MIR5697;MZT1P1;NMNAT1;PEX14;PGAM1P11;PGD;PIK3CD;PIK3CD-AS1;PIK3CD-AS2;RBP7;RERE;RERE-AS1;RN7SKP269;RN7SL451P;RN7SL731P;RNA5SP40;RNU6-304P;RNU6-37P;RNU6-828P;RNU6-991P;RPL21P21;RPL23AP19;RPL7P11;RPL7P7;SLC25A33;SLC2A5;SLC2A7;SLC45A1;SPSB1;TMEM201;TMEM274P;UBE4B
chr1	10499943	10899943	ENSG00000130940;ENSG00000225158;ENSG00000142655;ENSG00000243267	CASZ1;HSPE1P24;PEX14;RN7SL614P
chr1	10899943	11019943	ENSG00000175262;ENSG00000215785;ENSG00000120948	C1orf127;CFL1P6;TARDBP
chr1	11019943	11659943	ENSG00000171819;ENSG00000204624;ENSG00000171824;ENSG00000230337;ENSG00000116661;ENSG00000132879;ENSG00000235643;ENSG00000009724;ENSG00000224338;ENSG00000198793;ENSG00000225602;ENSG00000207451;ENSG00000253086;ENSG00000238173;ENSG00000116649;ENSG00000120948;ENSG00000238199;ENSG00000120942	ANGPTL7;DISP3;EXOSC10;EXOSC10-AS1;FBXO2;FBXO44;LINC01647;MASP2;MTCYBP45;MTOR;MTOR-AS1;RNU6-291P;RNU6-537P;RPL39P6;SRM;TARDBP;UBE2V2P3;UBIAD1
chr1	11659943	12219943	ENSG00000177674;ENSG00000215910;ENSG00000177553;ENSG00000011021;ENSG00000162490;ENSG00000132879;ENSG00000116663;ENSG00000116685;ENSG00000116670;ENSG00000116688;ENSG00000116691;ENSG00000177000;ENSG00000175206;ENSG00000120937;ENSG00000083444;ENSG00000243539;ENSG00000199347;ENSG00000201801;ENSG00000201135;ENSG00000227875;ENSG00000224904;ENSG00000028137;ENSG00000120949	AGTRAP;C1orf167;C1orf167-AS1;CLCN6;DRAXIN;FBXO44;FBXO6;KIAA2013;MAD2L2;MFN2;MIIP;MTHFR;NPPA;NPPB;PLOD1;RN7SL649P;RNU5E-1;RNU5E-4P;RNU6-777P;RPL23AP89;SBF1P2;TNFRSF1B;TNFRSF8
chr1	12219943	12339943	ENSG00000225196;ENSG00000048707	RPL10P17;VPS13D
chr1	12339943	12740043	ENSG00000188984;ENSG00000204518;ENSG00000162496;ENSG00000229484;ENSG00000221340;ENSG00000239149;ENSG00000048707	AADACL3;AADACL4;DHRS3;LINC02766;RNU6ATAC18P;SNORA59A;VPS13D
chr1	13393540	13513505	ENSG00000162494;ENSG00000204478	LRRC38;PRAMEF20
chr1	13513505	13833505	ENSG00000215909;ENSG00000162494;ENSG00000162493;ENSG00000116731;ENSG00000222952	BRWD1P1;LRRC38;PDPN;PRDM2;RNA5SP41
chr1	13833505	13953505	ENSG00000189337	KAZN
chr1	13953505	14073505	ENSG00000189337	KAZN
chr1	14073505	14633504	ENSG00000189337;ENSG00000234593;ENSG00000252151	KAZN;KAZN-AS1;RNU6-1265P
chr1	14633504	15033504	ENSG00000189337;ENSG00000235829	KAZN;TBCAP2
chr1	15033504	15193504	ENSG00000189337;ENSG00000215720;ENSG00000171729;ENSG00000175147;ENSG00000204464	KAZN;MFFP1;TMEM51;TMEM51-AS1;TMEM51-AS2
chr1	15193504	15393504	ENSG00000142621;ENSG00000233485;ENSG00000171729;ENSG00000278480	FHAD1;FHAD1-AS1;TMEM51;ZBTB2P1
chr1	15393504	15513505	ENSG00000132906;ENSG00000142615;ENSG00000215704;ENSG00000162438;ENSG00000142634;ENSG00000228140;ENSG00000142621	CASP9;CELA2A;CELA2B;CTRC;EFHD2;EFHD2-AS1;FHAD1
chr1	15513505	17473504	ENSG00000116771;ENSG00000237276;ENSG00000142632;ENSG00000234166;ENSG00000159363;ENSG00000132906;ENSG00000236500;ENSG00000235084;ENSG00000186510;ENSG00000184908;ENSG00000132881;ENSG00000058453;ENSG00000215908;ENSG00000080947;ENSG00000227684;ENSG00000197312;ENSG00000116138;ENSG00000236698;ENSG00000142627;ENSG00000227959;ENSG00000268869;ENSG00000185519;ENSG00000232456;ENSG00000162458;ENSG00000037637;ENSG00000173641;ENSG00000226029;ENSG00000233421;ENSG00000204362;ENSG00000117122;ENSG00000186715;ENSG00000186301;ENSG00000233929;ENSG00000219481;ENSG00000157191;ENSG00000142623;ENSG00000117115;ENSG00000142619;ENSG00000159339;ENSG00000276747;ENSG00000225710;ENSG00000230239;ENSG00000116786;ENSG00000179051;ENSG00000227751;ENSG00000206652;ENSG00000207005;ENSG00000207513;ENSG00000207389;ENSG00000277234;ENSG00000277344;ENSG00000252417;ENSG00000224321;ENSG00000226457;ENSG00000215695;ENSG00000117118;ENSG00000162461;ENSG00000224459;ENSG00000187144;ENSG00000065526;ENSG00000179743;ENSG00000183888;ENSG00000055070;ENSG00000224966;ENSG00000162460;ENSG00000233954;ENSG00000116809	AGMAT;ANO7L1;ARHGEF19;ARHGEF19-AS1;ATP13A2;CASP9;CD24P1;CHCHD2P6;CLCNKA;CLCNKB;CPLANE2;CROCC;CROCCP2;CROCCP3;CROCCP4;DDI2;DNAJC16;EIF1AXP1;EPHA2;EPHA2-AS1;ESPNP;FAM131C;FAM131C2P;FBLIM1;FBXO42;HSPB7;LINC01772;LINC01783;LINC02783;MFAP2;MST1L;MST1P2;MT1XP1;NBPF1;NECAP2;PADI1;PADI2;PADI3;PADI4;PADI6;PDE4DIPP8;PDE4DIPP9;PLEKHM2;RCC2;RCC2-AS1;RNU1-1;RNU1-2;RNU1-3;RNU1-4;RNU1-5P;RNU1-6P;RNU7-179P;RPL12P14;RPL22P3;RSC1A1;SDHB;SLC25A34;SLC25A34-AS1;SPATA21;SPEN;SPEN-AS1;SRARP;SZRD1;TBC1D3P6;TMEM82;UQCRHL;ZBTB17
chr1	17473504	17633505	ENSG00000074964	ARHGEF10L
chr1	17633505	18313506	ENSG00000117148;ENSG00000074964;ENSG00000117154;ENSG00000230035;ENSG00000261781;ENSG00000236648	ACTL8;ARHGEF10L;IGSF21;IGSF21-AS1;LINC01654;LINC02810
chr1	18313506	18473506	ENSG00000117154	IGSF21
chr1	18473506	18593506	ENSG00000235282;ENSG00000179023	DYNLL1P3;KLHDC7A
chr1	18593506	18713506	ENSG00000009709	PAX7
chr1	18713506	18873506	ENSG00000159423;ENSG00000009709;ENSG00000179002	ALDH4A1;PAX7;TAS1R2
chr1	18873506	19673507	ENSG00000053371;ENSG00000162482;ENSG00000211454;ENSG00000159423;ENSG00000077549;ENSG00000127463;ENSG00000230424;ENSG00000158748;ENSG00000169991;ENSG00000173436;ENSG00000235185;ENSG00000270136;ENSG00000221662;ENSG00000053372;ENSG00000158747;ENSG00000240490;ENSG00000201609;ENSG00000200403;ENSG00000040487;ENSG00000127481	AKR7A2;AKR7A3;AKR7L;ALDH4A1;CAPZB;EMC1;EMC1-AS1;HTR6;IFFO2;MICOS10;MICOS10-DT;MICOS10-NBL1;MIR1290;MRTO4;NBL1;RN7SL277P;RNU4-28P;RNU6-1099P;SLC66A1;UBR4
chr1	19673507	19753507	ENSG00000158748;ENSG00000162542	HTR6;TMCO4
chr1	19753507	19873507	ENSG00000178828;ENSG00000235434;ENSG00000162542	RNF186;RNF186-AS1;TMCO4
chr1	19873507	20473507	ENSG00000236963;ENSG00000228105;ENSG00000169914;ENSG00000188257;ENSG00000187980;ENSG00000117215;ENSG00000188784;ENSG00000158786;ENSG00000127472;ENSG00000242688;ENSG00000162543;ENSG00000158816	LINC01141;LINC01757;OTUD3;PLA2G2A;PLA2G2C;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G5;RN7SL304P;UBXN10;VWA5B1
chr1	20473507	20633507	ENSG00000162545;ENSG00000158825;ENSG00000183114;ENSG00000090432;ENSG00000158828;ENSG00000215520	CAMK2N1;CDA;FAM43B;MUL1;PINK1;RPS4XP4
chr1	20633507	21993507	ENSG00000162551;ENSG00000219073;ENSG00000186543;ENSG00000244038;ENSG00000117298;ENSG00000231105;ENSG00000075151;ENSG00000127483;ENSG00000187952;ENSG00000235112;ENSG00000142798;ENSG00000117245;ENSG00000187942;ENSG00000233431;ENSG00000221808;ENSG00000284005;ENSG00000227001;ENSG00000142794;ENSG00000228823;ENSG00000176378;ENSG00000158828;ENSG00000117242;ENSG00000236216;ENSG00000076864;ENSG00000273610;ENSG00000201919;ENSG00000251914;ENSG00000232037;ENSG00000233072;ENSG00000189410;ENSG00000090686	ALPL;CELA3B;CROCCP5;DDOST;ECE1;ECE1-AS1;EIF4G3;HP1BP3;HS6ST1P1;HSPE1P27;HSPG2;KIF17;LDLRAD2;LINC02596;MIR1256;MIR6084;NBPF2P;NBPF3;PDE4DIPP10;PFN1P10;PINK1;PINK1-AS;PPP1R11P1;RAP1GAP;RN7SL386P;RNU6-1022P;RNU7-200P;RPL21P29;RPS15AP6;SH2D5;USP48
chr1	21993507	22153507	ENSG00000070831;ENSG00000285752;ENSG00000230068;ENSG00000142789;ENSG00000219073;ENSG00000218510;ENSG00000228397;ENSG00000271428;ENSG00000278124;ENSG00000201273;ENSG00000162552	CDC42;CDC42-AS1;CDC42-IT1;CELA3A;CELA3B;LINC00339;LINC01635;MPHOSPH6P1;RN7SL186P;RNU6-776P;WNT4
chr1	22153507	22993507	ENSG00000173372;ENSG00000173369;ENSG00000159189;ENSG00000070886;ENSG00000133216;ENSG00000215906;ENSG00000234397;ENSG00000184677;ENSG00000237200	C1QA;C1QB;C1QC;EPHA8;EPHB2;LACTBL1;PPIAP34;ZBTB40;ZBTB40-IT1
chr1	22993507	23153507	ENSG00000004487;ENSG00000169641;ENSG00000227868	KDM1A;LUZP1;TEX46
chr1	23153507	23313507	ENSG00000125944;ENSG00000179546;ENSG00000261326;ENSG00000169641;ENSG00000252578;ENSG00000206935	HNRNPR;HTR1D;LINC01355;LUZP1;RNU6-135P;RNU6-514P
chr1	23313507	23953510	ENSG00000088280;ENSG00000229106;ENSG00000188822;ENSG00000007968;ENSG00000229239;ENSG00000011007;ENSG00000236810;ENSG00000179163;ENSG00000117308;ENSG00000230228;ENSG00000117305;ENSG00000125944;ENSG00000117318;ENSG00000011009;ENSG00000197880;ENSG00000264926;ENSG00000057757;ENSG00000142676;ENSG00000204219;ENSG00000125945;ENSG00000249087	ASAP3;BTBD6P1;CNR2;E2F2;EEF1A1P48;ELOA;ELOA-AS1;FUCA1;GALE;H3P1;HMGCL;HNRNPR;ID3;LYPLA2;MDS2;MIR378F;PITHD1;RPL11;TCEA3;ZNF436;ZNF436-AS1
chr1	23993510	29153488	ENSG00000241547;ENSG00000126705;ENSG00000117713;ENSG00000130770;ENSG00000127423;ENSG00000282872;ENSG00000188782;ENSG00000174950;ENSG00000169442;ENSG00000130695;ENSG00000214973;ENSG00000226662;ENSG00000169504;ENSG00000142675;ENSG00000176092;ENSG00000117682;ENSG00000225891;ENSG00000126698;ENSG00000229820;ENSG00000224129;ENSG00000159023;ENSG00000158008;ENSG00000158161;ENSG00000197245;ENSG00000009780;ENSG00000142748;ENSG00000000938;ENSG00000162419;ENSG00000198746;ENSG00000142751;ENSG00000181773;ENSG00000158055;ENSG00000232298;ENSG00000198830;ENSG00000126709;ENSG00000233419;ENSG00000185436;ENSG00000142677;ENSG00000175707;ENSG00000157978;ENSG00000131914;ENSG00000233975;ENSG00000285823;ENSG00000230023;ENSG00000204178;ENSG00000117643;ENSG00000142733;ENSG00000130772;ENSG00000238705;ENSG00000117640;ENSG00000142661;ENSG00000230703;ENSG00000184454;ENSG00000264443;ENSG00000001461;ENSG00000225159;ENSG00000131910;ENSG00000090273;ENSG00000116329;ENSG00000225294;ENSG00000158006;ENSG00000182749;ENSG00000175087;ENSG00000204138;ENSG00000060642;ENSG00000117751;ENSG00000231468;ENSG00000169403;ENSG00000188060;ENSG00000117602;ENSG00000180198;ENSG00000188672;ENSG00000187010;ENSG00000241188;ENSG00000240750;ENSG00000243905;ENSG00000274978;ENSG00000207237;ENSG00000238482;ENSG00000223062;ENSG00000253005;ENSG00000207095;ENSG00000206888;ENSG00000206767;ENSG00000221216;ENSG00000252429;ENSG00000117748;ENSG00000230833;ENSG00000172746;ENSG00000223583;ENSG00000224064;ENSG00000215905;ENSG00000117676;ENSG00000117616;ENSG00000020633;ENSG00000229162;ENSG00000252947;ENSG00000224183;ENSG00000162430;ENSG00000130766;ENSG00000175793;ENSG00000142669;ENSG00000158014;ENSG00000090020;ENSG00000130768;ENSG00000197989;ENSG00000242125;ENSG00000274582;ENSG00000273544;ENSG00000278274;ENSG00000274266;ENSG00000200087;ENSG00000221539;ENSG00000225990;ENSG00000229786;ENSG00000228589;ENSG00000133226;ENSG00000116350;ENSG00000117632;ENSG00000001460;ENSG00000117758;ENSG00000117614;ENSG00000142765;ENSG00000120656;ENSG00000229388;ENSG00000158246;ENSG00000130775;ENSG00000253304;ENSG00000186501;ENSG00000183726;ENSG00000158022;ENSG00000180098;ENSG00000253368;ENSG00000158062;ENSG00000158195;ENSG00000142784;ENSG00000224311;ENSG00000158156;ENSG00000198492;ENSG00000204160;ENSG00000142684;ENSG00000236782;ENSG00000176083;ENSG00000236155	ACTG1P20;AHDC1;ARID1A;ATP5IF1;AUNIP;C1orf232;CATSPER4;CD164L2;CD52;CEP85;CHCHD3P3;CHMP1AP1;CLIC4;CNKSR1;CRYBG2;DHDDS;DHDDS-AS1;DNAJC8;DNAJC8P4;DPPA2P2;EPB41;EXTL1;EYA3;FAM110D;FAM76A;FCN3;FGR;GMEB1;GPATCH3;GPN2;GPR3;GRHL3;GRHL3-AS1;HMGN2;IFI6;IFITM3P7;IFNLR1;IL22RA1;KDF1;LDLRAP1;LIN28A;LINC02574;LINC02793;LINC02800;MACO1;MAN1C1;MAP3K6;MED18;MIR1976;MTFR1L;MYOM3;MYOM3-AS1;NCMAP;NCMAP-DT;NIPAL3;NPM1P39;NR0B2;NUDC;OPRD1;OSTCP2;PAFAH2;PAQR7;PDIK1L;PHACTR4;PIGV;PPP1R8;PRDX3P2;PTAFR;RAB42;RCAN3;RCC1;RHCE;RHD;RN7SL165P;RN7SL559P;RN7SL679P;RNU11;RNU6-110P;RNU6-1208P;RNU6-1245P;RNU6-176P;RNU6-424P;RNU6-48P;RNU6-949P;RNU6ATAC27P;RNU7-29P;RPA2;RPEP3;RPL12P13;RPL17P9;RPL32P6;RPL36P5;RPS6KA1;RSRP1;RUNX3;RUNX3-AS1;SCARNA1;SDHDP6;SELENON;SESN2;SFN;SH3BGRL3;SLC30A2;SLC9A1;SMPDL3B;SNHG12;SNHG3;SNORA16A;SNORA44;SNORA61;SNORA73A;SNORA73B;SNORD99;SNRPEP7;SNRPFP2;SPCS2P4;SRRM1;SRSF4;STMN1;STPG1;STX12;SYF2;SYTL1;TAF12;TAF12-DT;TENT5B;THEMIS2;TMEM200B;TMEM222;TMEM50A;TRIM63;TRNAU1AP;TRNP1;UBXN11;WASF2;WDTC1;WDTC1-DT;XKR8;YTHDF2;ZDHHC18;ZNF593;ZNF593OS;ZNF683;ZPLD2P
chr1	29153488	29273488	ENSG00000116353;ENSG00000060656;ENSG00000116350	MECR;PTPRU;SRSF4
chr1	29273488	29433488	ENSG00000230523;ENSG00000060656	LINC01756;PTPRU
chr1	29555235	30367153	ENSG00000233399	LINC01648
chr1	30367153	30487153	n/a	n/a
chr1	30487153	30607153	n/a	n/a
chr1	30607153	30687153	n/a	n/a
chr1	30687153	33374399	ENSG00000184389;ENSG00000121753;ENSG00000004455;ENSG00000142920;ENSG00000160058;ENSG00000160050;ENSG00000084636;ENSG00000222046;ENSG00000215899;ENSG00000084623;ENSG00000121769;ENSG00000183615;ENSG00000225828;ENSG00000160097;ENSG00000224333;ENSG00000121764;ENSG00000116478;ENSG00000121905;ENSG00000160051;ENSG00000121774;ENSG00000162522;ENSG00000025800;ENSG00000162511;ENSG00000182866;ENSG00000260386;ENSG00000223382;ENSG00000229259;ENSG00000175130;ENSG00000162510;ENSG00000186056;ENSG00000266203;ENSG00000220785;ENSG00000084628;ENSG00000162517;ENSG00000235790;ENSG00000134686;ENSG00000233246;ENSG00000184007;ENSG00000134644;ENSG00000162521;ENSG00000222112;ENSG00000222784;ENSG00000263529;ENSG00000266210;ENSG00000116514;ENSG00000206981;ENSG00000225142;ENSG00000116497;ENSG00000162512;ENSG00000215900;ENSG00000168528;ENSG00000060688;ENSG00000134668;ENSG00000162520;ENSG00000142910;ENSG00000160055;ENSG00000121775;ENSG00000121900;ENSG00000116525;ENSG00000162526;ENSG00000084652;ENSG00000134684;ENSG00000160062;ENSG00000273274;ENSG00000176261;ENSG00000121766;ENSG00000160094	A3GALT2;ADGRB2;AK2;AZIN2;BSDC1;CCDC28B;COL16A1;DCDC2B;EEF1A1P46;EIF3I;FABP3;FAM167B;FAM229A;FNDC5;GAPDHP20;HCRTR1;HDAC1;HPCA;IQCC;KHDRBS1;KIAA1522;KPNA6;LAPTM5;LCK;LDC1P;LINC01778;LRRC37A12P;MARCKSL1;MATN1;MATN1-AS1;MIR5585;MTMR9LP;NKAIN1;PEF1;PEF1-AS1;PHC2;PHC2-AS1;PTP4A2;PUM1;RBBP4;RN7SKP16;RN7SKP91;RN7SL122P;RN7SL371P;RNF19B;RNU6-40P;RPL21P22;S100PBP;SDC3;SELENOWP1;SERINC2;SNRNP40;SPOCD1;SYNC;TINAGL1;TMEM234;TMEM39B;TMEM54;TRIM62;TSSK3;TXLNA;YARS1;ZBTB8A;ZBTB8B;ZBTB8OS;ZCCHC17;ZNF362
chr1	33374399	33574400	ENSG00000121904;ENSG00000134686;ENSG00000234512;ENSG00000121903	CSMD2;PHC2;TLR12P;ZSCAN20
chr1	33574400	34134399	ENSG00000121904;ENSG00000231163;ENSG00000176256;ENSG00000227000;ENSG00000201148	CSMD2;CSMD2-AS1;HMGB4;HSPD1P14;RNA5SP42
chr1	34134399	34294399	ENSG00000142698;ENSG00000121904	C1orf94;CSMD2
chr1	34294399	34414399	n/a	n/a
chr1	34414399	34654399	n/a	n/a
chr1	34654399	34814399	ENSG00000187513;ENSG00000188910;ENSG00000189433;ENSG00000189280;ENSG00000207941;ENSG00000163866	GJA4;GJB3;GJB4;GJB5;MIR552;SMIM12
chr1	34814399	36494399	ENSG00000116863;ENSG00000092847;ENSG00000126070;ENSG00000134698;ENSG00000142686;ENSG00000271164;ENSG00000092853;ENSG00000171812;ENSG00000119535;ENSG00000116544;ENSG00000228348;ENSG00000142694;ENSG00000241014;ENSG00000142687;ENSG00000181817;ENSG00000116871;ENSG00000116898;ENSG00000020129;ENSG00000116885;ENSG00000126067;ENSG00000264592;ENSG00000240374;ENSG00000222821;ENSG00000233940;ENSG00000229994;ENSG00000116560;ENSG00000214193;ENSG00000163866;ENSG00000196182;ENSG00000092850;ENSG00000116819;ENSG00000239636;ENSG00000054118;ENSG00000243749;ENSG00000054116;ENSG00000231849;ENSG00000197056;ENSG00000146463;ENSG00000227409;ENSG00000163867	ADPRS;AGO1;AGO3;AGO4;C1orf216;CFAP97P1;CLSPN;COL8A2;CSF3R;DLGAP3;EFCAB14P1;EVA1B;GPR199P;KIAA0319L;LSM10;MAP7D1;MRPS15;NCDN;OSCP1;PSMB2;RN7SL131P;RN7SL503P;RNU4-27P;RPL12P45;RPL5P4;SFPQ;SH3D21;SMIM12;STK40;TEKT2;TFAP2E;TFAP2E-AS1;THRAP3;TMEM35B;TRAPPC3;UBE2V2P4;ZMYM1;ZMYM4;ZMYM4-AS1;ZMYM6
chr1	36494399	36614399	n/a	n/a
chr1	36614399	37374399	ENSG00000230214;ENSG00000163873;ENSG00000252368;ENSG00000207328;ENSG00000230451;ENSG00000233621	FTLP18;GRIK3;RNA5SP43;RNU6-636P;RPS29P6;ZC3H12A-DT
chr1	37374399	37494399	ENSG00000163875;ENSG00000163874;ENSG00000233621	MEAF6;ZC3H12A;ZC3H12A-DT
chr1	37494399	38894328	ENSG00000214141;ENSG00000116922;ENSG00000197982;ENSG00000134690;ENSG00000163879;ENSG00000183317;ENSG00000183386;ENSG00000232273;ENSG00000131233;ENSG00000134697;ENSG00000215895;ENSG00000204084;ENSG00000237290;ENSG00000238063;ENSG00000284623;ENSG00000185090;ENSG00000163875;ENSG00000224592;ENSG00000188786;ENSG00000214114;ENSG00000185668;ENSG00000158315;ENSG00000212541;ENSG00000222282;ENSG00000200796;ENSG00000237749;ENSG00000116954;ENSG00000228436;ENSG00000169218;ENSG00000183431;ENSG00000163877;ENSG00000183520;ENSG00000196449	ACTN4P2;C1orf109;C1orf122;CDCA8;DNALI1;EPHA10;FHL3;FTH1P1;GJA9;GNL2;HSPA5P1;INPP5B;LINC01343;LINC01685;LINC02786;MANEAL;MEAF6;MIR3659HG;MTF1;MYCBP;POU3F1;RHBDL2;RNU6-510P;RNU6-584P;RNU6-753P;RPS27P9;RRAGC;RRAGC-DT;RSPO1;SF3A3;SNIP1;UTP11;YRDC
chr1	38894328	39014328	ENSG00000174574;ENSG00000235549;ENSG00000158315;ENSG00000199963;ENSG00000228436	AKIRIN1;EIF1P2;RHBDL2;RNU6-605P;RRAGC-DT
